zeichen,kapitel,aussprache,aussprache_ohne_ton,ton,bedeutung,kategorie 1,kategorie 2,kategorie 3,HSK,grammatik
好,1,hǎo,hao,3,gut / sehr,Alltag,,,1,Adjektiv
你,1,nǐ,ni,3,du,Alltag,,,1,Pronomen
您,1,nín,nin,2,Sie (höflich),Alltag,,,1,Pronomen
吗,1,ma,ma,5,(Fragepartikel),Alltag,,,1,Partikel
我,1,wǒ,wo,3,ich,Alltag,,,1,Pronomen
很,1,hěn,hen,3,sehr,Alltag,,,1,Adverb
呢,1,ne,ne,5,(Fragepartikel),Alltag,,,1,Partikel
再见,1,zàijiàn,zaijian,4,auf Wiedersehen,Alltag,,,1,Ausdruck
忙,1,máng,mang,2,beschäftigt,Alltag,,,1,Adjektiv
累,1,lèi,lei,4,müde,Alltag,,,1,Adjektiv
饿,1,è,e,4,hungrig,Alltag,,,1,Adjektiv
渴,1,kě,ke,3,durstig,Alltag,,,1,Adjektiv
不,1,bù,bu,4,nicht,Alltag,,,1,Adverb
李莉,1,Lǐ Lì,li li,3,Li Li (Name),Name,Alltag,,1,Name
约翰,1,Yuēhàn,yuehan,1,Johann (Name),Name,Alltag,,1,Name
请问,2,qǐngwèn,qingwen,3,darf ich fragen,Alltag,,,1,Ausdruck
叫,2,jiào,jiao,4,heißen,Alltag,,,1,Verb
什么,2,shénme,shenme,2,was,Alltag,,,1,Fragewort
名字,2,míngzi,mingzi,2,Name,Alltag,,,1,Nomen
姓,2,xìng,xing,4,Nachname,Alltag,,,1,Nomen
贵,2,guì,gui,4,teuer,Alltag,,,1,Adjektiv
是,2,shì,shi,4,sein,Alltag,,,1,Verb
老师,2,lǎoshī,laoshi,3,Lehrer,Person,Schule,Beruf,1,Nomen
工程师,2,gōngchéngshī,gongchengshi,1,Ingenieur,Person,Beruf,,1,Nomen
他,2,tā,ta,1,er,Alltag,,,1,Pronomen
她,2,tā,ta,1,sie,Alltag,,,1,Pronomen
们,2,men,men,5,Plural-Suffix,Alltag,,,1,Partikel
秘书,2,mìshū,mishu,4,Sekretär,Person,Beruf,,1,Nomen
学生,2,xuésheng,xuesheng,2,Schüler,Schule,Person,,1,Nomen
介绍,2,jièshào,jieshao,4,vorstellen,Alltag,,,1,Verb
